Date,URL,Repository name,Commits,Forks,Watchers,Stars
2017-11-08,https://api.github.com/repos/cryptoapi/Payment-Gateway,Payment-Gateway,77,138,167,167
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Wordpress-Plugin,Bitcoin-Wordpress-Plugin,93,30,24,24
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Payment-Gateway-ASP.NET,Bitcoin-Payment-Gateway-ASP.NET,18,7,14,14
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Payments-Woocommerce,Bitcoin-Payments-Woocommerce,31,11,13,13
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Gateway-Paid-Memberships-Pro,Bitcoin-Gateway-Paid-Memberships-Pro,10,10,10,10
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Easy-Digital-Downloads,Bitcoin-Easy-Digital-Downloads,6,7,6,6
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Payments-WP-eCommerce,Bitcoin-Payments-WP-eCommerce,9,7,5,5
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Paypal-Donations-Wordpress,Bitcoin-Paypal-Donations-Wordpress,7,6,5,5
2017-11-08,https://api.github.com/repos/cryptoapi/Python-Django-Flask-Bitcoin-Payments,Python-Django-Flask-Bitcoin-Payments,3,3,5,5
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Payments-Jigoshop,Bitcoin-Payments-Jigoshop,13,2,3,3
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Payments-MarketPress,Bitcoin-Payments-MarketPress,8,1,3,3
2017-11-08,https://api.github.com/repos/cryptoapi/bbPress-Premium-Membership-Bitcoins,bbPress-Premium-Membership-Bitcoins,8,2,1,1
2017-11-08,https://api.github.com/repos/cryptoapi/Bitcoin-Payments-Appthemes,Bitcoin-Payments-Appthemes,12,3,1,1
2017-11-08,https://api.github.com/repos/cryptoapi/GoUrl-Spelling-Notifications,GoUrl-Spelling-Notifications,7,1,1,1
2017-11-08,https://api.github.com/repos/cryptoapi/Wordpress-Spelling-Notifications,Wordpress-Spelling-Notifications,7,1,1,1
2017-11-08,https://api.github.com/repos/cryptoapi/Give,Give,228,3,0,0
2017-11-08,https://api.github.com/repos/cryptoapi/paid-memberships-pro,paid-memberships-pro,940,2,0,0
